RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
CN1CCC(C)(CNC(=O)C2CCCCN2C(=O)C=3C=CC=CC3)CC1	Z1631151057	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.70859872611465	Compound 2ab
NCCCNC(=O)C1CCCN1C(=O)C=2C=CC=CC2	Z2439839024	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.707357859531773	benzamide derivative
[C@H]1([C@H]([C@@H]([C@H]([C@@H](C1)N)OC[C@@H](CN(CCCCCCN(C)C[C@H](CO[C@@H]1O[C@H]([C@@H]([C@@H]([C@H]1N)O)O)CN)O)C)O)O)O)N 	Target_lig_359	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.706051873198847	sisomicin
CN(C)C(=O)CN1CCC(CC1)NC(=O)C2CCCN2C(=O)C=3C=CC=CC3	Z1168093065	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.705977382875606	Compound 2ab
CC(NC(=O)C=1C=CC(=CC1)C(C)(C)C)C(=O)N2CCC(CC2)C(=O)C=3C=CC=CC3	Z229945972	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.704730831973899	Compound 2ab
CN=C(C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(=NC)N)N 	Target_lig_975	O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1	0.704347826086957	Compound 8
CC=1C=CC=CC1C(=O)NC(C(=O)N2CCC(CC2)C(=O)N3CCCCCC3)C(C)C	Z245041186	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.7024	Compound 2ab
CNC(=N)c1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=N)NC	Target_lig_1565	O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1	0.702173913043478	Compound 8
CCCC(=O)N1CCCC1C(=O)N2CCC(CC2)NC(=O)C=3C=CC=CC3	Z735690490	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.70216306156406	benzamide derivative
CC(=O)NCC=1C=CC(=CC1)C(=O)N2CCN(CC2)C3CCCN(C3=O)C(C)C	Z1625799786	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.701320132013201	benzamide derivative
CC(=O)N1CCCCC1C(=O)N2C3CCC2CC(C3)N(C)C(=O)C=4C=CC=CC4	Z1608900182	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.699842022116904	Compound 2ab
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(C(C2O)O)N)N)C(CC1O)N	Target_lig_1155	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.698986975397974	sisomicin
O=C(NCCC1CC2CCC1C2)C3CCCCN3C(=O)C=4C=CC=CC4	Z509365040	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.69826224328594	Compound 2ab
[C@H]1([C@H]([C@@H]([C@H]([C@@H](C1)N)OC[C@@H](CN(CCCCCCN(C)C[C@H](CO[C@@H]1O[C@@H]([C@H]([C@H]([C@H]1N)O)O)CO)O)C)O)O)O)N 	Target_lig_358	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.697841726618705	sisomicin
CC(NC(=O)C1CCCN1C(=O)C=2C=CC=CC2O)C(=O)N3CCCCC3C	Z1025958314	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.696107784431138	Compound 2ab
CCC(=O)N1CCCCC1C(=O)N2CCC(CC2)NC(=O)C3=CC=CC=C3C	Z770867442	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.696	Compound 2ab
O([C@@H]1[C@H](O)[C@H](O[C@H]2O[C@@H](CC[C@@H]2N)[C@H](NC)C)[C@@H](N)C[C@@H]1N)[C@H]1OC[C@](O)([C@@H](NC)[C@H]1OP(=O)(=O)O)C 	Target_lig_143	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.695570216776626	sisomicin
CN(C)CCN1CCC(CNC(=O)C2CCCN2C(=O)C=3C=CC=CC3)CC1	Z1204792413	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.694041867954911	Compound 2ab
CN1CC(CCC1=O)NC(=O)C=2C=CC(=CC2)CNC(=O)C3CCCC3	Z1239574809	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.694017094017094	Compound 2ab
CCC(=O)N1CCCCC1C(=O)N2CCCN(CC2)C(=O)C3=CC=CC(C)=C3	Z828120112	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.694006309148265	Compound 2ab
CC(C)N1CCCC(C1=O)N2CCN(CC2)C(=O)C=3C=CC(C#N)=CC3	Z1625801919	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.69281045751634	benzamide derivative
[C@@H]1([C@@H]([C@H]([C@H](O[C@H]1CN)O[C@@H]1[C@@H]([C@H]([C@@H](C[C@H]1N)N)OCCNCCCN)O)N)O)O 	Target_lig_363	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.690510948905109	sisomicin
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1O)OC1OC(CO)C(C(C1N)O)O)N	Target_lig_1162	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.690161527165933	sisomicin
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1O)OC1OC(CO)C(C(C1N)O)O)N 	Target_lig_1282	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.690161527165933	sisomicin
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(COC3OC(CO)C(C(C3N)O)O)C(C(C2N)O)O)N)C(CC1O)N	Target_lig_1163	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.690058479532164	sisomicin
CCC(CC)C(=O)N1CCC(CC1)NC(=O)C2CCCN2C(=O)C=3C=CC=CC3	Z757486912	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.68895800933126	Compound 2ab
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)O)O)N 	Target_lig_311	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.68685376661743	sisomicin
CC(NC(=O)C=1C=CC=CC1)C(=O)N2CCC(CC2)C(=O)C=3C=CC=CC3	Z229945410	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.684474123539232	Compound 2ab
Cc1ccc2c(c1)c(C)nc(NC1NCN(CCO)CN=1)n2	9243143	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.683582089552239	VS compound 8c
CC1=CC(C)=CC(=C1)C(=O)N2CCCCC2C(=O)NCC(CO)C(C)C	Z2099685960	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.682515337423313	Compound 2ab
[C@H]1([C@H]([C@@H]([C@@H](O[C@@H]1CN)O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1CN)OC)N)O[C@@H]1[C@H]([C@H]([C@H]([C@H](O1)C)N)O)O)N)O)O 	Target_lig_375	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.682403433476395	sisomicin
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)O)O)N	Target_lig_1388	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.681952662721893	sisomicin
O=C(CC=1C=CC=CC1)N2CCCC2C(=O)NCCNC(=O)C=3C=CC=CC3	Z825933476	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.681089743589744	benzamide derivative
[C@H]1([C@H]([C@@H]([C@@H](O[C@@H]1CN)O[C@@H]1[C@@H]([C@H](O[C@H]([C@@H]1N)OC)CN)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)C)N)O)O)N)O)O 	Target_lig_373	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.680972818311874	sisomicin
CC=1C=CC2=C(C1)N=C(N)N2CCCN3C=CN=C3	Z234896681	CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N	0.68	Benzimidazole3ibis
CSC1=CC=C(\C=C\C2=CC3=C(NCC[NH+]4CCCC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1	R-BIND_SM_0129	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.67948717948718	Quindoline CK1-14
O=C(O)CN1CCCCC(C1=O)N2CCC(CC2)NC(=O)C=3C=CC=CC3	Z2387254600	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.678688524590164	Compound 2ab
O=C(c1cccc(c1)C(=O)Nc1cccc(c1)C(=N)N)Nc1cccc(c1)C(=N)N	Target_lig_1570	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.677179962894249	Compound 9
[C@H]1([C@@H]([C@@H]([C@H](O[C@H]1CN)O[C@@H]1[C@@H]([C@@H]([C@H](O[C@@H]1CN)OC)N)O[C@H]1[C@H]([C@H]([C@@H](O1)CO)O)O)N)O)O 	Target_lig_374	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.674681753889675	sisomicin
CCC(=O)N1CCCCC1C(=O)NC2CCN(CC2)C(=O)C=3C=CC=CC3	Z778652404	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.672638436482085	Compound 2ab
CC(NC(=O)C=1C=CC(Br)=CC1)C(=O)NC2CCCN(CC=3C=CC=CC3)C2	Z381209366	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.672212978369384	benzamide derivative
CN(C)C(=O)C1(CNC(=O)C2CCCCN2C(=O)C=3C=CC=CC3)CCCC1	Z1192606303	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.670103092783505	Compound 2ab
CC(=O)N1CCCCC1C(=O)NCC2CCN(CC2)C(=O)C=3C=CC=CC3	Z1519198122	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.669918699186992	Compound 2ab
O=C(NC(CC=1C=CC=CC1)C(=O)N2CCCCCCC2)C=3C=CC=CC3	Z27075291	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.66884176182708	Compound 2ab
CSC1=CC=C(\C=C\C2=CC3=C(NCCN4CC[NH+](C)CC4)C4=C([NH+]=C3C=C2)C2=C(O4)C=CC=C2)C=C1	R-BIND_SM_0130	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.6688	Quindoline CK1-14
O=C(NC(CC=1C=CC=CC1)C(=O)N2CCCCCC2)C=3C=CC=CC3	Z27703544	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.667752442996743	Compound 2ab
CC=1C=CC(=CC1)CN2C(=O)CCC2C(=O)NCC=3C=CC(=CC3)C(N)=O	Z1273175138	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.667731629392971	benzamide derivative
C1=CC(=CC=C1C(=N)N)NC(=O)C2=CC(=C(C=C2)C(=O)NC3=CC=C(C=C3)C(=N)N)N 	Target_lig_970	O=C(Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1cccc(c1)NC(=O)Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1	0.667701863354037	Compound 7
O=C(c1ccc(c(c1)N)C(=O)Nc1ccc(cc1)C(=N)N)Nc1ccc(cc1)C(=N)N	Target_lig_1560	O=C(Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1cccc(c1)NC(=O)Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1	0.667701863354037	Compound 7
CC1=CC(C)=CC(=C1)C(=O)N2CCCCC2C(=O)NCC3=CC=CC(=C3)C(N)=O	Z1583383466	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.6671875	Compound 2ab
O=C(NCC=1C=CC(O)=C(O)C1)C2CCCCN2C(=O)C=3C=CC=CC3	Z1619534737	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.665137614678899	Compound 2ab
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1OC1OC(CO)C(C(C1O)N)O)O)N	Target_lig_1157	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.664779161947905	sisomicin
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1OC1OC(CO)C(C(C1N)O)O)N)O 	Target_lig_1283	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.660313901345291	sisomicin
O=C(NCCC=1C=CC=CC1)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)C=4C=CC=CC4	Z220517244	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.658119658119658	Compound 2ab
CNC(=O)C1CCCCN1C(=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F	Z367278190	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.657534246575342	Compound 2ab
[C@H]1([C@H]([C@@H]([C@H](O[C@H]1CO)O[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1N)OC)CN)O)N)O)O 	Target_lig_1285	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.656387665198238	sisomicin
CC(C)(C)CC(=O)N1CCCC1C(=O)NC2CCN(CC2)C(=O)C=3C=CC=CC3	Z966370052	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.655660377358491	benzamide derivative
NCC1OC(OC2C(N)CC(C(C2O)OC2OC(CN)C(CC2N)O)N)C(C(C1OC1OC(CO)C(C(C1O)O)N)N)O	Target_lig_1156	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.655133928571429	sisomicin
NC(=O)C=1C=CC(=CC1)CNC(=O)C2CCCN2C(=O)CC=3C=CC=CC3	Z825905146	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.653605015673981	benzamide derivative
CCNC(=O)C=1C=CC(=CC1)CNC(=O)C2CCCN2C(=O)CC=3C=CC=CC3	Z825999164	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.653061224489796	Compound 2ab
CC(=O)NC1=NC(=CS1)C1=CC(NC(=O)[C@@H]([NH3+])CCCC[NH3+])=CC=C1 	Target_lig_698	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.652869238005644	Compound 3b
Cl.NCC=1C=CC=2C(=O)N(CC2C1)C3CCC(=O)NC3=O	Z3400107544	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.652797704447633	Compound 2ab
CCC1(CO)CCCN(C1)C(=O)C2CCCN2C(=O)C3=CC=CC=C3O	Z1748863210	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.652542372881356	Compound 2ab
NCC1OC(OC2C(N)CC(C(C2O)O)N)C(C(C1OCn1nnc(c1)CC(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)O)N	Target_lig_1337	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.65007215007215	Compound 3b
O=C(CNC(=O)C=1C=CC(=CC1)C=2C=CC=CC2)NC3CCCCNC3=O	Z727550688	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.648054145516074	Compound 2ab
CCC=1C=CC(=CC1)C(=O)N2CCC(CC2)C(=O)N3CCCC3C(N)=O	Z595000578	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.64797507788162	benzamide derivative
O=C(c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=N)N)Nc1ccc(cc1)C(=N)N	Target_lig_1561	O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1	0.647826086956522	Compound 8
[C@@H]1([C@H]([C@H]([C@H](O[C@@H]1CN)O[C@H]1[C@H]([C@@H]([C@H](O[C@H]1CO)OC)N)O)N)O)O 	Target_lig_369	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.647743813682678	sisomicin
Cl.NCC=1C=CC=C(C1)C(=O)NC(CC=2C=CC=CC2)C(=O)N3CCCCC3	Z1818290703	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.64696734059098	Compound 2ab
O=C(NCC=1C=CC(=CC1)C(=O)N2CCCCC2)C3CCCN3C(=O)C4CCCCC4	Z425613110	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.646433990895296	Compound 2ab
[C@@H]1([C@@H]([C@@H]([C@H](O[C@@H]1CO)O[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1CN)OC)N)O)N)O)O 	Target_lig_370	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.645348837209302	sisomicin
NCC1OC(OC2C(Cn3nnc(c3)CCCCCC(=O)Nc3cccc(c3)c3csc(n3)NC(=O)C)OC(C2O)OC2C(O)C(N)CC(C2OC2OC(CN)C(C(C2N)O)O)N)C(C(C1O)O)N	Target_lig_1331	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.645095367847411	Compound 3b
CC(C)(C)C=1C=CC(=CC1)C(=O)NCC(=O)NCC(C)(C)N2CCCCC2	Z32507127	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.644366197183099	Compound 2ab
[C@@H]1([C@@H]([C@H]([C@H](O[C@@H]1CN)O[C@@H]1[C@H]([C@@H](O[C@@H]([C@H]1N)OC)CN)O)N)O)O 	Target_lig_368	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.644117647058824	sisomicin
[C@@H]1([C@H]([C@H]([C@@H](O[C@@H]1CN)OC[C@@H](CN(CCCCCCN(C)C[C@H](CO[C@@H]1O[C@H]([C@@H]([C@@H]([C@H]1N)O)O)CN)O)C)O)N)O)O 	Target_lig_355	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.644092219020173	sisomicin
NCC1OC(OC2C(Cn3nnc(c3)CCCCC(=O)Nc3cccc(c3)c3csc(n3)NC(=O)C)OC(C2O)OC2C(O)C(N)CC(C2OC2OC(CN)C(C(C2N)O)O)N)C(C(C1O)O)N 	Target_lig_766	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.643490115882754	Compound 3b
NCC1OC(OC2C(Cn3nnc(c3)CCCCC(=O)Nc3cccc(c3)c3csc(n3)NC(=O)C)OC(C2O)OC2C(O)C(N)CC(C2OC2OC(CN)C(C(C2N)O)O)N)C(C(C1O)O)N	Target_lig_1330	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.643490115882754	Compound 3b
CCC=1C=CC(=CC1)C(=O)N2CCN(CC2)C(C)C(=O)NC3CCCCCC3	Z355058282	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.643344709897611	Compound 2ab
O=C(Cc1nnn(c1)COC1C(N)CC(C(C1O)O)N)Nc1cccc(c1)c1csc(n1)NC(=O)C 	Target_lig_774	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.642201834862385	Compound 3b
O=C(Cc1nnn(c1)COC1C(N)CC(C(C1O)O)N)Nc1cccc(c1)c1csc(n1)NC(=O)C	Target_lig_1338	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.642201834862385	Compound 3b
O=C(CN1CCCCCC1=O)N2CCC(CC2)NC(=O)C=3C=CC=CC3	Z217559714	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.641071428571429	Compound 2ab
C[C@@H]1CNC(=N1)c1ccc(cc1)NC(=O)Nc1ccc(cc1)C1=N[C@H](CN1)C	Target_lig_1572	O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1	0.640471512770137	Compound 8
CCC(=O)N1CCCCC1C(=O)N(C)C2CCN(CC=3C=CC=CC3)CC2	Z1192580390	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.639344262295082	Compound 2ab
O=C(O)CCN1CCCC(C1)NC(=O)C2=CC=C3C=CC=CC3=C2	Z1492339213	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.63922942206655	Compound 2ab
CN(CC(N)=O)CC1CN(CCO1)C2=NC=3C=C(F)C=CC3O2	Z1758759639	CN(CCCNc1nc2c(o1)cc(cc2)N)C	0.638483965014577	Benzoxazole derivative 23
CC1CN2CCCCC2CN1C(=O)C=3C=CC(=CC3)CN4CCN(C)CC4	Z1223485679	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.63758389261745	Compound 2ab
[C@H]1([C@H]([C@@H]([C@H](O[C@H]1CN)O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1CN)OC)N)O)N)O)O 	Target_lig_372	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.637554585152838	sisomicin
CCCC1C(=O)NCCN1C(=O)C2CCN(CC2)C(=O)C=3C=CC=CC3	Z1553012953	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.637345679012346	benzamide derivative
COC(c1cccc(c1)Nc1c2ccccc2nc(c2ccccc2O)n1)=O	4229-0068	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.63728813559322	Compound 1 (2017)
