RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
CCC1=NC=CN1C2CCCN(CC3=NC=4C=C(OC)C(=CC4C(=O)N3)OC)C2	Z1141227391	Cc1nc2cccc(N)c2c(=O)n1[C@@H]1CCC(=O)NC1=O	0.570508231925555	DB14857
CCOCC=1C=CC(=CC1)CNC(=O)C=2N=CC=NC2N	Z356959160	Nc1nc(C(=O)N[C@H](CO)C(=O)O)c(N)nc1C(=O)N[C@H](CO)C(=O)O	0.570491803278689	DB19130
CN1C=CN=C1CN2C[C@@H](F)C[C@H]2CNC(=O)C3=CC=CN=C3O	Z1759391325	O=C(NCCO[N+](=O)[O-])c1cccnc1	0.570484581497797	DB09220
COC(C)C(=O)NC=1C=CC=C(C1)C(=O)N2CCCCC2C(=O)O	Z1445385244	CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0.570469798657718	DB17602
CCNC(=O)C=1C=CC(=NC1)N2CCC(C2)OCC=3C=CN=CC3	Z1958245581	O=C(NCCO[N+](=O)[O-])c1cccnc1	0.570454545454545	DB09220
CC(C)(C)C(=O)NC=1C=CC(=CN1)C(=O)NC2CCOC(C)(C)C2	Z2271086413	O=C(NCCO[N+](=O)[O-])c1cccnc1	0.570454545454545	DB09220
C1CC1c1nc2ccccc2n1CC(NCc1cc2CNCCn2n1)=O	58209539	CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC	0.570452604611443	DB05223
CC=1C=CC=NC1NC(=O)CC=2C=CC=C3C=CC=NC23	Z244490784	O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1	0.570446735395189	DB13371
C(Cc1nc2NC(=CC(c3ccc(cc3)[Cl])n2n1)c1ccccc1)CO	5228-4308	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.57042957042957	DB18578
CCCN(C(=O)CN(C(=O)NCc1nnn(c1)CCCNC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)N1CCN(CC1)C)CCC)CC(=O)N(CC(=O)N(Cc1nnn(c1)CCCNC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)N1CCN(CC1)C)CC(=O)N)CCC 	Target_lig_1009	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.57042957042957	DB18578
