Unique_SMILES	Mol_ID
O=C(O)C(F)(F)F.CCOC(=O)C1=CC=2C=C(C=CC2S1)NC(=O)NCCN3C=CN=C3	Z5460138770
CCOC(=O)C1=CC=2C=C(C=CC2S1)NC(=O)N3CCOC(C)C3	Z434448544
CC1=NC(CC2=NOC(=N2)C=3C=C(N=C4C=CC=CC34)C5CC5)=NO1	Z1169977226
[O-][N+](=O)C1=CN(C=CC1=O)CC2=COC(=N2)C3=CC=C(F)C(F)=C3	Z1414083673
CN1C=C(C=N1)C2=CSC(=N2)C=3C=CC=C(C3)C4=NN=C(N)O4	Z1256712657
CC1=NN=C(O1)C2CC=3C=CC=CC3CN2CCOC=4C(C)=CC=CC4C	Z646039292
CCN1C=NN=C1CNC=2N=C(N=C3SC=C(C=4C=CC=CC4)C23)C=5C=CC=NC5	Z645338416
CC=1SC(=NC1C=2C=CC3=C(C2)CC(=O)N3C)C=4C=NN(C4)C=5C=CC=CC5	Z1513817862
O=C(NC=1C=CC=NC1C=2C=CC=CC2)C=3C=NC4=CC=CC=C4N3	Z1514606915
CC=1N=C2C=CC(=CC2=NC1C)C(=O)NC=3C=CC=CC3N4C=CN=C4	Z648907252
O=C(NC=1C=CC=2NC(=O)NC2C1)C=3C=CC=4N=CSC4C3	Z26794133
CN1CCCN(CC1)C(=O)C=2C=C(N=C3C=CC=CC23)C4=CC=CC=5C=CC=CC45	Z26844772
CCC1=NC(=NN1)C=2C=CC(=CC2)C3=NC(=NO3)C=4C=CC=CN4	Z1460270407
CC(CNC=1C=NC=C(N1)C(N)=O)C2=NC=3C=CC=CC3S2	Z1521848147
COC=1C=CC(=CC1OC)C2=NC(=CS2)C3=NN=C(O3)C4=C(C)N=C5C=CC=CN45	Z686076588
COC1=CC(OC)=C(Cl)C=C1NC(=O)C2=CN3C(C)=CC=CC3=N2	Z29678829
COC=1C=CC(=CC1)C2=NN=C(O2)C(C)SC3=NN=NN3C=4C=CC=CC4	Z96101210
COC=1C=CC=2C=C(C=CC2N1)NC(=O)C3=NC=CN4C=CN=C34	Z1314245531
CN1CCCN(CC1)C(=O)C=2C=CC(=CC2)N3C=NC=4C=CC=CC43	Z87560373
O=C(NC=1C=CC=2OC(=O)C=CC2C1)C3=CC=C(COC=4C=CC(F)=CC4)O3	Z729537538
COC=1C=CC=2C(=COC2C1)CC(=O)NC(CC3=NC=CN3)C=4C=CC=CC4	Z230093464
COC=1C=CC(=CC1)C2=CSC3=NC=NC(NCC=4C=NC=CC4)=C23	Z31216570
O=C(O)C(=O)O.O=C(O)C(=O)O.CC=1C=CC(=CC1)C2=NN=C(NCCCN(C)C)C3=CC=CC=C23	Z275024474
COC=1C=CC=2C(=CC=NC2C1)OCC3=CSC(=N3)C4CCCO4	Z1527294960
O=C(NC=1C=CC=CC1N2C=NC=N2)C3=CSC(=N3)C=4C=CSC4	Z339126638
CC(OC=1C=CC=C(C#N)C1)C(=O)NC=2C=CC=C3CN(CC23)C4=NC=CS4	Z1530736221
CCC=1C=CC(=CC1)C(NC(=O)C(=O)NC=2C=CN(CCN(C)C)N2)C(C)C	Z1429377246
COC=1C=CC=CC1NC2=NC(=CS2)C3=CC=C4NC(=O)NC4=C3	Z48856599
CC1=NN=C(O1)C=2C=CC=CC2NC(=O)C3=CC=4C=CC=CC4OC3=O	Z444528734
CC=1C=C(C=2C=C(C=CC2N1)OC(F)F)N3CCC4=C(C3)N=CN4C5CC5	Z1252403274
CC=1C=C(ON1)C(=O)N2CCN(CC2)C(C)C=3C=CC=NC3	Z751650766
O=C(NC=1N=CC=CC1OCC=2C=CN=CC2)C=3C=C(ON3)C4=CC=CC=C4F	Z1091245164
COC1=CC(=CC(=C1)C(=O)NC2=NC=3CCN(C)CC3S2)OC	Z54407111
O=C(NCC=1C=CC=CC1)C=2C=CC(=CC2)N3C=NC=4C=CC=CC43	Z87526775
COC=1C=CC(NC(=NC(=O)C=2C=CC=CC2)NC=3N=C(C)C=C(C)N3)=C(C1)OC	Z56802299
[O-][N+](=O)C=1C=CC(=CC1)C(NC=2C=CC=CN2)C=3C=CC4=CC=CN=C4C3O	Z56790991
COC=1C=CC(=CC1OC)CC(=O)N=C(N)NC2=NC=3C=CC=CC3S2	Z56801878
COC=1C=CC(=CC1OC)NC2=NC=3C=CC=C4C=CC=C2C34	Z56784826
CN1C=NC=C1C2CCCN(C2)C=3C=CC4=NN=C(C=5C=CC=CC5)N4N3	Z1103004000
O=C(NCC1(CCCCC1)N2CCCCC2)C=3C=CC(=O)N(CCOC=4C=CC=CC4)N3	Z145412984
CCN1CCN(CC2=NN(C(N)=C2C=3C=CC=CC3)C=4C=CC(C)=C(Cl)C4)CC1	Z90666982
CN1C(=NC=2C=CC=CC21)C=3C=CC(=CC3)NC(=O)C=4C=CNC(=O)C4	Z1418849037
CC(OC(=O)C1=NNC=2C=CC=CC12)C3=NN=C(O3)C4=CC=CS4	Z91875598
NC(=O)CN1CCCN(CC1)C(=O)C2=CC=C(S2)C=3C=CC(F)=CC3	Z845334726
COC1=CC(OC)=C2N=CN=C(NC(C)C3=CN(C)N=C3C)C2=C1	Z1918462025
CC(C)(C)C1=CSC(CN2C=CC(=O)C(=C2)[N+]([O-])=O)=N1	Z1414087799
COCCC1=NOC(COC2=CC=C(Cl)C=C2Br)=N1	Z1118558931
[O-][N+](=O)C=1C=CC2=C(C1)N=C(CN3CCNC(=O)C3)N2C=4C=CC(F)=CC4	Z224291796
O=C(NC1=NC=2C=CC=CC2N1CCC=3C=CC=CN3)C4=CSC(=N4)C=5N=CC=CC5F	Z1563756532
CC1=NN(C)C=2N=C(C=C(C(=O)OCC=3N=C(N)C=4C=CC=CC4N3)C12)C5=CC=CS5	Z236548788
CC=1N=C2C=CC(=CC2=NC1C)C(=O)NC=3C=CC=CC3N4C=NC=N4	Z339126050
OCCC=1C=CC(OCC2=COC(=N2)C=3C=CC=CC3)=C(C1)N4N=C5C=CC=CC5=N4	Z107141540
CC=1C(=O)C=2C=CC=C(C(=O)NC=3C=CC=CC3CC(=O)N(C)C)C2OC1C=4C=CC=CC4	Z817846168
CCCC1=NC(C)=C(S1)C(=O)NCC2=NC=3C=CN=CC3N2C	Z2143435771
CN1C(=O)C2=C(N=C3N(C(=CN32)C4=CC=CS4)C=5C=CC=C(F)C5)N(C)C1=O	Z818819854
CCC1=NN2C(=O)C=C(CSC3=NN=C4C=CC=CN34)N=C2S1	Z112456592
CC1=NOC(C)=C1CN2CCC3(CC3C4=NN=C(O4)C=5C=CC=C(F)C5)CC2	Z1170443808
COC=1C=CC(=CC1)C2=NN=C(O2)C(C)OC(=O)C3=CC4=CC=C(C=C4N=C3C)OC	Z194657204
CCCNC(=O)CN(C)C=1C=NN(C(=O)C1Cl)C=2C=CC(=CC2)C(=O)O	Z127442298
CC=1C=CC=C(C1)COC=2C=CC=C(C2)C(=O)N3C[C@H](O)[C@H](C3)N(C)C	Z2227314700
CN(C)C(=O)C1=CC=C(CN2CC3CCCCC32C=4C=CC=CC4)N1	Z1572420303
C1=CC=2C=CC=C(CNC=3C=CC=CC3OCC4=CSC=N4)C2N1	Z1462683529
CC=1C(O)=CC=C2C(=CC(=O)OC12)COC(=O)C3=NNC(=O)C4=CC=CC=C34	Z148349594
[O-][N+](=O)C1=CN(C=CC1=O)C=2C=CC(=CC2)S(=O)(=O)C(F)F	Z1576892774
CN(C)C(CNCC=1C=CC(=CC1)N2CCN(C)CC2)C3=CC=CO3	Z1579186661
CC(C)C=1N=CC=2CCN(CC2N1)C=3C=NC=4C=CC=CC4N3	Z1142723602
COC=1C=C(Cl)C(=CC1OC)NC(=O)C2=NN(C(=O)C=3C=CC=CC23)C(C)C	Z226605428
CC1=NN2C(N=C(NCC(C)CN3C=CN=C3C)C4=CC=CC=C42)=C1Cl	Z826945094
CC=1C=CC2=NC(=CN2C1)COC(=O)C=3C=C(N=C4C3C=NN4C(C)C)C5=CC=CO5	Z215592334
CC=1N=CC=CC1C(=O)N2CC=C(CC2)C3=CNC4=NC=CC=C34	Z1155385279
CN(C)C=1C=C2CN(CCC2=NN1)C=3C=CN=C4C3C=NN4C	Z2090747869
C1=CSC(=N1)C=2C=CC(=CC2)NC=3C=CC4=NN=NN4N3	Z220418758
COC=1C=CC(=CC1OC)C(=O)NC=2C=CC=3N=C(SC3C2)N4CCCC4	Z220571554
CC=1SC=2N=C(CN3CCOCC3)N=C(NCC=4N=CC=C5C=CC=CC45)C2C1C	Z220601974
O=C(OCC=1C=C(ON1)C2=CC=CO2)C3=NN(C=4C=CC(F)=CC4)C=5CCCCC35	Z226807544
CC(CCO)C1(CNC(=O)CCC2=CC=C(O2)C3=CC=CC=C3F)CCC1	Z1594595203
[O-][N+](=O)C=1C=CC(=CC1CO)OC=2N=CN=C3C=CSC23	Z1864106788
CC=1C=CC=2N=C(SC2C1)C=3C=CC(=CC3)NC(=O)CN4C=NC(C#N)=N4	Z228464072
CCOC(=O)C1=NC(=CS1)C2=CC=CC(=C2)N3CCCC3=O	Z900429168
CCCN1C2=NN=C(C=3C=CC(=CC3)OCC)N2C4=C1C(=O)NC(=O)N4C	Z906123766
O=C1CC=2C=C(C=CC2N1)C3=CSC(=N3)NC=4C=CC=CN4	Z238766598
C(=CC=1C=CC=CC1)CN2CCCC2C=3C=CSC3	Z416858258
CC(C)(C)NC(=O)CNC(=O)C=1C=CC(=CC1)SCC2=CSC=N2	Z271447446
O=C(NC=1C=NC=2CCOCC2C1)C=3C=CC(=NC3)OC4=CC=CC=C4Cl	Z1608444071
FC(F)(F)C1=NNC=2CCN(CC3=CC=NO3)CC12	Z1176478038
O=C(O)C(F)(F)F.COC=1C=CC(=CC1OC)C=2N=C(N=C(N)N)SC2C	Z8538782026
O=C(NC=1C=CC=CC1N2C=NC=N2)C3=CC=C4C=CC=CC4=C3	Z317138484
CC(C)C1=NC=2CN(CCC2N1C)C(=O)C=3C=CC=C4NC(=O)C(C)OC34	Z1188828400
